date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:45	83588/83588	---M--	200	added ('OK')	application/x-font-woff	etag:%2214684-60a2cd36-f7a3350b65954e77;;;%22	https://www.sobczak.com.pl/dist/fontawesome-webfont.woff	D:/website/schody/www.sobczak.com.pl/dist/fontawesome-webfont.woff	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:46	142072/142072	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2222af8-60a2cd37-fd91166c6cd0bd60;gz%22	https://www.sobczak.com.pl/dist/fontawesome-webfont.ttf	D:/website/schody/www.sobczak.com.pl/dist/fontawesome-webfont.ttf	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:46	67/67	---M--	200	added ('OK')	image/svg+xml	etag:%2243-60a2cd3b-c97353bf51e9ff72;;;%22	https://www.sobczak.com.pl/dist/resources/vendor/css/font-awesome/fonts/fontawesome-webfont.ae459b0c49413afa6044276b2c171197.svg	D:/website/schody/www.sobczak.com.pl/dist/resources/vendor/css/font-awesome/fonts/fontawesome-webfont.ae459b0c49413afa6044276b2c171197.svg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:46	33145/33145	---M--	200	added ('OK')	image/png	etag:%228179-60a2cd38-e23ebd9cc66d7f89;;;%22	https://www.sobczak.com.pl/dist/img/gradient-seamless_paper_texture.fe907bfd9ac7ca36ab2630ced5324af6.png	D:/website/schody/www.sobczak.com.pl/dist/img/gradient-seamless_paper_texture.fe907bfd9ac7ca36ab2630ced5324af6.png	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:47	62712/62712	---M--	200	added ('OK')	image/jpeg	etag:%22f4f8-60a2cd39-ae96d34e2ae1b7d5;;;%22	https://www.sobczak.com.pl/dist/img/mapa2.c7b27d6edc50c1d304977076e299d78f.jpg	D:/website/schody/www.sobczak.com.pl/dist/img/mapa2.c7b27d6edc50c1d304977076e299d78f.jpg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:47	119061/119061	---M--	200	added ('OK')	image/jpeg	etag:%221d115-60a2cd3a-9ab363e5d32527c1;;;%22	https://www.sobczak.com.pl/dist/img/about/02.9d65a13e79c1c5a63491b05960574c3c.jpg	D:/website/schody/www.sobczak.com.pl/dist/img/about/02.9d65a13e79c1c5a63491b05960574c3c.jpg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:47	37220/37220	---M--	200	added ('OK')	image/jpeg	etag:%229164-60a2cd39-6bbce00604efcdea;;;%22	https://www.sobczak.com.pl/dist/img/about/03.477dda20cc6b55a9f5a29c4084635ed6.jpg	D:/website/schody/www.sobczak.com.pl/dist/img/about/03.477dda20cc6b55a9f5a29c4084635ed6.jpg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:47	115260/115260	---M--	200	added ('OK')	image/jpeg	etag:%221c23c-60a2cd39-a4d48ebf07087e48;;;%22	https://www.sobczak.com.pl/dist/img/about/01.b1b900e442a63924debd1921dbc0a39b.jpg	D:/website/schody/www.sobczak.com.pl/dist/img/about/01.b1b900e442a63924debd1921dbc0a39b.jpg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:48	175232/175232	---M--	200	added ('OK')	image/jpeg	etag:%222ac80-60a2cd39-7f35a859e3c1bd37;;;%22	https://www.sobczak.com.pl/dist/img/background-tree.4c8eadcb4a227687d8cecee69364d09b.jpg	D:/website/schody/www.sobczak.com.pl/dist/img/background-tree.4c8eadcb4a227687d8cecee69364d09b.jpg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:48	13255/13255	---M--	200	added ('OK')	image/jpeg	etag:%2233c7-56eb1fdb-f44e63fa8835daeb;;;%22	https://www.sobczak.com.pl/img/produkcja01.jpg	D:/website/schody/www.sobczak.com.pl/img/produkcja01.jpg	(from https://www.sobczak.com.pl/o-nas)
